name,common_name,sex_filter,categories,prevalence,acuteness,severity,triage_level,recommended_channel
Paranoid schizophrenia,Paranoid schizophrenia,both,Psychiatry,rare,chronic_with_exacerbations,severe,consultation_24,video_teleconsultation
Paraphimosis,Paraphimosis,male,Urology,rare,acute_potentially_chronic,severe,emergency,personal_visit
Paronychia,Paronychia,both,Surgery,moderate,acute_potentially_chronic,mild,consultation,personal_visit
Paroxysmal nocturnal hemoglobinuria,Paroxysmal nocturnal hemoglobinuria,both,Hematology,very_rare,chronic_with_exacerbations,moderate,consultation,personal_visit
Patella fracture,Broken kneecap,both,Traumatology,very_rare,acute,moderate,consultation_24,personal_visit
Patellofemoral pain syndrome,Runner's knee,both,Orthopedics,moderate,chronic,mild,consultation,personal_visit
Pediculosis capitis,Head lice,both,Infectiology,rare,acute_potentially_chronic,mild,self_care,video_teleconsultation
Pelvic inflammatory disease,Pelvic inflammatory disease,female,Gynecology,rare,acute,severe,consultation_24,personal_visit
Pelvic organ prolapse,Uterine prolapse,female,Gynecology,rare,chronic,mild,consultation,personal_visit
Pelvis fracture,Broken pelvis,both,Traumatology,very_rare,acute,severe,emergency,personal_visit
Penetrating abdominal trauma,Penetrating stomach trauma,both,Traumatology,very_rare,acute,severe,emergency_ambulance,personal_visit
Peptic ulcer,Peptic ulcer disease,both,Gastroenterology,rare,chronic_with_exacerbations,mild,consultation,personal_visit
Pericarditis,Pericarditis,both,Cardiology,very_rare,acute_potentially_chronic,severe,consultation_24,personal_visit
Periodontitis,Gum disease,both,Dentistry,moderate,chronic,mild,consultation,personal_visit
Periorbital cellulitis,Periorbital cellulitis,both,Ophthalmology,very_rare,acute,moderate,consultation_24,personal_visit
Peripheral vascular disease,Peripheral arterial disease,both,Angiology,very_rare,chronic_with_exacerbations,moderate,consultation,personal_visit
Peritonitis,Peritonitis,both,Surgery,very_rare,acute,severe,emergency,personal_visit
Peritonsillar abscess,Quinsy,both,Otorhinolaryngology,very_rare,acute,severe,emergency,personal_visit
Pernicious anemia,Pernicious anemia,both,Hematology,very_rare,chronic,mild,consultation,audio_teleconsultation
Peroneal mononeuropathy,Peroneal neuropathy,both,Orthopedics,rare,chronic,mild,consultation,personal_visit
Pertussis,Pertussis,both,Infectiology,very_rare,acute,moderate,consultation_24,personal_visit
Pheochromocytoma,Pheochromocytoma,both,Endocrinology,very_rare,chronic_with_exacerbations,severe,consultation_24,personal_visit
Phimosis,Phimosis,male,Urology,rare,chronic,mild,consultation,personal_visit
Physical injury of unknown location,Physical injury of unknown location,both,Traumatology,very_rare,acute,severe,consultation,personal_visit
Pilonidal cyst,Pilonidal cyst,both,Surgery,very_rare,chronic_with_exacerbations,mild,consultation,personal_visit
Pituitary prolactin releasing adenoma,Pituitary prolactin releasing adenoma,both,Endocrinology,very_rare,chronic,severe,consultation,personal_visit
Pituitary tumor,Pituitary tumor,both,Endocrinology,rare,chronic,severe,consultation,personal_visit
Pityriasis rosea,Pityriasis rosea,both,Dermatology,moderate,acute,mild,consultation,personal_visit
Placenta previa,Placenta previa,female,Gynecology,very_rare,acute,severe,emergency,personal_visit
Placental abruption,Premature separation of placenta,female,Gynecology,very_rare,acute,severe,emergency,personal_visit
Plague,Plague,both,Infectiology,very_rare,acute,severe,emergency,personal_visit
Plugged milk duct,Plugged milk duct,female,Gynecology,very_rare,acute,mild,self_care,personal_visit
Pneumocystis jirovecii pneumonia,Pneumocystis jirovecii pneumonia,both,Pulmonology,very_rare,acute,severe,consultation_24,personal_visit
Pneumonia,Pneumonia,both,Internal Medicine,rare,acute,severe,consultation_24,personal_visit
Pneumothorax,Pneumothorax,both,Pulmonology,rare,acute,severe,emergency_ambulance,personal_visit
Polyarteritis nodosa,Polyarteritis nodosa,both,Rheumatology,very_rare,chronic,severe,consultation,personal_visit
Polycystic ovary syndrome,Polycystic ovary syndrome,female,Endocrinology,rare,chronic,moderate,consultation,personal_visit
Polycythemia vera,Erythremia,both,Hematology,very_rare,chronic_with_exacerbations,moderate,consultation,personal_visit
Polymyositis,Polymyositis,both,Rheumatology,very_rare,chronic_with_exacerbations,severe,consultation,personal_visit
Portal hypertension,Portal hypertension,both,Internal Medicine,very_rare,chronic,severe,consultation_24,personal_visit
Post-COVID-19 syndrome,Post-COVID-19 syndrome,both,Infectiology,very_rare,chronic,moderate,consultation,personal_visit
Post-concussion syndrome,Post-concussion syndrome,both,Neurology,very_rare,chronic,moderate,consultation,personal_visit
Post-traumatic stress disorder,Post-traumatic stress disorder,both,Psychiatry,very_rare,chronic_with_exacerbations,moderate,consultation,video_teleconsultation
Postinfectious cough,Postinfectious cough,both,Pulmonology,very_rare,acute,mild,self_care,personal_visit
Postpartum depression,Post-pregnancy depression,female,Psychiatry,very_rare,acute_potentially_chronic,severe,consultation_24,video_teleconsultation
Posttraumatic seizures,Posttraumatic seizures,both,Neurology,very_rare,acute,moderate,emergency,personal_visit
Pre-eclampsia,Pre-eclampsia,female,Gynecology,very_rare,acute,severe,emergency_ambulance,personal_visit
Pregnancy,Pregnancy,female,Gynecology,rare,acute_potentially_chronic,mild,consultation,personal_visit
Premenstrual syndrome,Premenstrual syndrome,female,Gynecology,moderate,chronic_with_exacerbations,mild,self_care,video_teleconsultation
Prerenal acute renal failure,Prerenal acute renal failure,both,Nephrology,very_rare,acute,severe,emergency_ambulance,personal_visit
Presbycusis,Age-related hearing loss,both,Otorhinolaryngology,very_rare,chronic,mild,consultation,personal_visit
Primary biliary cholangitis,Primary biliary cholangitis,both,Gastroenterology,very_rare,chronic,severe,consultation,personal_visit
Primary dysmenorrhoea,Primary dysmenorrhoea,female,Gynecology,moderate,chronic,mild,self_care,audio_teleconsultation
Primary syphilis,Primary syphilis,both,Venereology,very_rare,acute,mild,consultation,personal_visit
Prinzmetal's angina,Prinzmetal's angina,both,Cardiology,very_rare,chronic_with_exacerbations,severe,consultation_24,personal_visit
Proctitis,Inflammation of the rectum,both,Gastroenterology,rare,acute_potentially_chronic,moderate,consultation_24,personal_visit
Progressive supranuclear palsy,Progressive supranuclear palsy,both,Neurology,very_rare,chronic,severe,consultation,personal_visit
Prostatitis,Prostatitis,male,Urology,moderate,acute_potentially_chronic,moderate,consultation_24,personal_visit
Pseudo gout,Pseudo gout,both,Rheumatology,very_rare,chronic_with_exacerbations,mild,consultation,personal_visit
Pseudo-tetany,Pseudo-tetany,both,Internal Medicine,very_rare,acute,mild,consultation,personal_visit
Pseudobulbar palsy,Pseudobulbar palsy,both,Neurology,very_rare,acute_potentially_chronic,severe,consultation_24,personal_visit
Psittacosis,Psittacosis,both,Infectiology,very_rare,acute,moderate,consultation_24,personal_visit
Psoriasis,Psoriasis,both,Dermatology,rare,chronic_with_exacerbations,severe,consultation,video_teleconsultation
Psoriasis exacerbation,Psoriasis exacerbation,both,Dermatology,very_rare,acute_potentially_chronic,moderate,consultation,video_teleconsultation
Psoriatic arthritis,Psoriatic arthritis,both,Rheumatology,very_rare,chronic_with_exacerbations,moderate,consultation,video_teleconsultation
Pulmonary edema,Pulmonary edema,both,Cardiology,very_rare,acute,severe,emergency,personal_visit
Pulmonary embolism,Pulmonary embolism,both,Cardiology,very_rare,acute,severe,emergency_ambulance,personal_visit
Pulmonary hypertension,Pulmonary hypertension,both,Pulmonology,very_rare,chronic_with_exacerbations,severe,consultation_24,personal_visit
Pulmonary tuberculosis,Pulmonary tuberculosis,both,Pulmonology,very_rare,acute_potentially_chronic,severe,consultation_24,personal_visit
Pulpitis,Inflammation of the pulp,both,Dentistry,rare,acute_potentially_chronic,mild,consultation,personal_visit
Pure hypercholesterolemia,Pure hypercholesterolemia,both,Internal Medicine,very_rare,chronic,mild,consultation,audio_teleconsultation
Pure hypertriglyceridemia,Pure hypertriglyceridemia,both,Internal Medicine,moderate,chronic,mild,consultation,audio_teleconsultation
Pyelonephritis,Pyelonephritis,both,Nephrology,very_rare,acute,moderate,consultation_24,personal_visit
Q fever,Q fever,both,Infectiology,very_rare,acute,severe,emergency,personal_visit
Rabies,Rabies,both,Infectiology,very_rare,acute,severe,emergency,personal_visit
Radial nerve neuropathy,Radial nerve neuropathy,both,Orthopedics,very_rare,chronic,mild,consultation,personal_visit
Ramsay Hunt syndrome type II,Ramsay Hunt syndrome type II,both,Infectiology,very_rare,acute,moderate,consultation_24,personal_visit
Raynaud's phenomenon,Raynaud disease,both,Dermatology,rare,chronic,mild,consultation,personal_visit
Reactive arthritis,Reactive arthritis,both,Rheumatology,very_rare,chronic_with_exacerbations,moderate,consultation_24,personal_visit
Reflex syncope,Reflex syncope,both,Internal Medicine,moderate,chronic,mild,consultation,personal_visit
Relapsing fever,Relapsing fever,both,Infectiology,very_rare,acute_potentially_chronic,moderate,emergency,personal_visit
Respiratory diphtheria,Respiratory diphtheria,both,Infectiology,very_rare,acute,severe,emergency,personal_visit
Restless legs syndrome,Restless legs syndrome,both,Neurology,rare,chronic,mild,consultation,personal_visit
Retinal detachment,Retinal detachment,both,Ophthalmology,very_rare,acute_potentially_chronic,severe,emergency,personal_visit
Retinopathy,Retinopathy,both,Ophthalmology,rare,chronic_with_exacerbations,moderate,consultation,personal_visit
Rheumatoid arthritis,Rheumatoid arthritis,both,Rheumatology,very_rare,chronic_with_exacerbations,moderate,consultation,personal_visit
Rib fracture,Broken rib,both,Traumatology,very_rare,acute,moderate,consultation_24,personal_visit
Rift Valley fever,Rift Valley fever,both,Infectiology,very_rare,acute,mild,emergency,personal_visit
Right-sided heart failure,Right-sided heart failure,both,Cardiology,very_rare,chronic_with_exacerbations,severe,consultation_24,personal_visit
Rocky Mountain spotted fever,Rocky Mountain spotted fever,both,Infectiology,very_rare,acute,severe,emergency,personal_visit
Rosacea,Rosacea,both,Dermatology,rare,chronic_with_exacerbations,mild,consultation,video_teleconsultation
Rotator cuff syndrome,Rotator cuff syndrome,both,Orthopedics,rare,chronic,mild,consultation,personal_visit
Rotor syndrome,Rotor syndrome,both,Gastroenterology,very_rare,chronic,mild,self_care,personal_visit
Salicylate poisoning,Aspirin poisoning,both,Toxicology,very_rare,acute,severe,emergency,personal_visit
Sarcoidosis,Sarcoidosis,both,Pulmonology,rare,chronic,severe,consultation,personal_visit
Scabies,Scabies,both,Infectiology,rare,acute_potentially_chronic,mild,consultation,personal_visit
Scapula fracture,Broken shoulder bone,both,Traumatology,very_rare,acute,moderate,consultation,personal_visit
Scarlet fever,Scarlet fever,both,Infectiology,very_rare,acute,moderate,consultation_24,personal_visit
Schizoaffective disorder - depressive type,Schizoaffective disorder - depressive type,both,Psychiatry,very_rare,chronic_with_exacerbations,severe,consultation,video_teleconsultation
Schizoaffective disorder - manic type,Schizoaffective disorder - manic type,both,Psychiatry,very_rare,chronic_with_exacerbations,severe,consultation_24,video_teleconsultation
Sciatica,Sciatica,both,Neurology,moderate,chronic_with_exacerbations,moderate,consultation,video_teleconsultation
Scoliosis,Scoliosis,both,Orthopedics,moderate,chronic,mild,self_care,personal_visit
Scrub typhus,Scrub typhus,both,Infectiology,very_rare,acute,moderate,emergency,personal_visit
Seasonal affective disorder,Seasonal affective disorder,both,Psychiatry,rare,chronic_with_exacerbations,mild,consultation,video_teleconsultation
Seborrheic dermatitis,Seborrheic dermatitis,both,Dermatology,moderate,chronic,mild,consultation,video_teleconsultation
Secondary syphilis,Secondary syphilis,both,Venereology,very_rare,acute_potentially_chronic,moderate,consultation,personal_visit
Sedatives withdrawal syndrome,Sedatives withdrawal syndrome,both,Toxicology,very_rare,acute,severe,consultation_24,personal_visit
Sepsis,Sepsis,both,Infectiology,very_rare,acute,severe,emergency_ambulance,personal_visit
Sexual addiction,Sexual addiction,both,Psychiatry,rare,chronic,moderate,consultation,video_teleconsultation
Shigellosis,Shigellosis,both,Infectiology,very_rare,acute,severe,consultation_24,personal_visit
Shingles,Shingles,both,Dermatology,rare,acute,severe,consultation_24,video_teleconsultation
Shoulder bursitis,Shoulder bursitis,both,Orthopedics,rare,chronic,mild,consultation,personal_visit
Shoulder contusion,Shoulder contusion,both,Traumatology,very_rare,acute,mild,self_care,video_teleconsultation
Shoulder dislocation,Dislocated shoulder,both,Traumatology,very_rare,acute,moderate,emergency,personal_visit
Shoulder impingement syndrome,Shoulder impingement syndrome,both,Orthopedics,moderate,chronic,mild,consultation,personal_visit
Sickle cell anemia,Sickle cell anemia,both,Hematology,very_rare,chronic_with_exacerbations,moderate,consultation,personal_visit
Sjögren's syndrome,Sjögren's syndrome,both,Rheumatology,very_rare,chronic,mild,consultation,personal_visit
Sleep related leg cramps,Nocturnal leg cramps,both,Internal Medicine,moderate,acute_potentially_chronic,mild,self_care,personal_visit
Small intestinal bacterial overgrowth,Small intestinal bacterial overgrowth,both,Gastroenterology,rare,acute_potentially_chronic,mild,consultation,personal_visit
Social anxiety disorder,Social anxiety disorder,both,Psychiatry,rare,chronic_with_exacerbations,mild,consultation,audio_teleconsultation
Solar lentigo,Age spots,both,Dermatology,very_rare,chronic,mild,self_care,personal_visit
Specific phobia,Specific phobia,both,Psychiatry,very_rare,chronic_with_exacerbations,mild,self_care,audio_teleconsultation
Spinal osteoarthritis,Degenerative arthritis of the spine,both,Orthopedics,very_rare,chronic,mild,consultation,personal_visit
Splenic injury,Splenic injury,both,Traumatology,very_rare,acute,severe,emergency_ambulance,personal_visit
Sprained ankle,Sprained ankle,both,Traumatology,very_rare,acute,mild,consultation_24,personal_visit
Sprained elbow,Sprained elbow,both,Traumatology,very_rare,acute,mild,consultation_24,personal_visit
Sprained finger,Sprained finger,both,Traumatology,very_rare,acute,mild,self_care,personal_visit
Sprained hip,Sprained hip,both,Traumatology,very_rare,acute_potentially_chronic,mild,consultation,personal_visit
Sprained knee,Sprained knee,both,Traumatology,very_rare,acute_potentially_chronic,mild,consultation_24,personal_visit
Sprained shoulder,Sprained shoulder,both,Traumatology,very_rare,acute_potentially_chronic,mild,consultation_24,personal_visit
Sprained wrist,Sprained wrist,both,Traumatology,very_rare,acute,mild,consultation_24,personal_visit
Stable angina pectoris,Stable angina pectoris,both,Cardiology,very_rare,chronic_with_exacerbations,severe,consultation,personal_visit
Stable bradyarrhythmia,Arrhythmia with slow heart rate,both,Cardiology,very_rare,chronic_with_exacerbations,mild,consultation,personal_visit
Stable tachyarrhythmia,Arrhythmia with fast heart rate,both,Cardiology,rare,chronic,moderate,consultation,personal_visit
Stress fracture of foot,Stress fracture of foot,both,Orthopedics,very_rare,acute,moderate,consultation_24,video_teleconsultation
Stress fracture of lower leg,Stress fracture of lower leg,both,Orthopedics,very_rare,acute,moderate,consultation_24,personal_visit
Stress urinary incontinence,Stress incontinence,both,Urology,very_rare,chronic,mild,consultation,personal_visit
Stye,Stye,both,Ophthalmology,moderate,acute,mild,self_care,video_teleconsultation
Subarachnoid hemorrhage,Subarachnoid intracranial hemorrhage,both,Surgery,very_rare,acute,severe,emergency_ambulance,personal_visit
Sudden sensorineural hearing loss,Sudden idiopathic hearing loss,both,Otorhinolaryngology,rare,acute_potentially_chronic,moderate,consultation_24,personal_visit
Sun allergy,Sun allergy,both,Dermatology,rare,chronic_with_exacerbations,mild,self_care,video_teleconsultation
Sunburn,Sunburn,both,Dermatology,very_rare,acute,mild,self_care,personal_visit
Superficial thrombophlebitis,Inflammation of the superficial veins,both,Angiology,very_rare,chronic_with_exacerbations,moderate,consultation_24,personal_visit
Superior vena cava syndrome,Superior vena cava syndrome,both,Angiology,very_rare,acute,severe,emergency,personal_visit
Suspicious mole,Suspicious mole,both,Dermatology,moderate,chronic,severe,consultation,personal_visit
Syndrome of inappropriate antidiuretic hormone secretion,Syndrome of inappropriate antidiuretic hormone secretion,both,Endocrinology,very_rare,chronic_with_exacerbations,moderate,consultation,personal_visit
Systemic lupus erythematosus,Lupus,both,Rheumatology,very_rare,chronic_with_exacerbations,moderate,consultation,personal_visit
Systemic scleroderma,Systemic scleroderma,both,Rheumatology,very_rare,chronic_with_exacerbations,severe,consultation,personal_visit
Taeniasis,Tapeworm infection,both,Infectiology,very_rare,acute_potentially_chronic,moderate,consultation,personal_visit
Takayasu's disease,Takayasu's disease,both,Rheumatology,very_rare,chronic,moderate,consultation_24,personal_visit
Temporal giant cell arteritis,Temporal giant cell arteritis,both,Rheumatology,very_rare,chronic,moderate,consultation_24,personal_visit
Temporomandibular joint disorders,Temporomandibular joint disorders,both,Dentistry,rare,chronic,mild,consultation,personal_visit
Tension-type headaches,Tension-type headaches,both,Neurology,common,chronic_with_exacerbations,mild,self_care,audio_teleconsultation
Tertiary syphilis,Tertiary syphilis,both,Venereology,very_rare,chronic,moderate,consultation,personal_visit
Testicular cancer,Testicular cancer,male,Urology,rare,chronic,severe,consultation,personal_visit
Testicular torsion,Testicular torsion,male,Urology,very_rare,acute,severe,emergency,personal_visit
Tetanus,Tetanus,both,Infectiology,very_rare,acute,severe,emergency_ambulance,personal_visit
Tetany,Tetany,both,Internal Medicine,rare,acute_potentially_chronic,severe,consultation_24,personal_visit
Thalassemia,Thalassemia,both,Hematology,very_rare,chronic,mild,consultation,personal_visit
Thigh contusion,Thigh contusion,both,Traumatology,very_rare,acute,mild,self_care,video_teleconsultation
Thoracic aortic aneurysm,Thoracic aortic aneurysm,both,Surgery,very_rare,chronic,severe,consultation_24,personal_visit
Thoracic aortic dissection,Thoracic aortic dissection,both,Surgery,very_rare,acute,severe,emergency_ambulance,personal_visit
Thoracic outlet syndrome,Thoracic outlet syndrome,both,Angiology,very_rare,chronic,mild,consultation,personal_visit
Thoracic vertebra fracture,Broken thoracic spine,both,Traumatology,very_rare,acute,severe,emergency,personal_visit
Thorax contusion,Chest contusion,both,Traumatology,very_rare,acute,mild,self_care,video_teleconsultation
Threatened miscarriage,Threatened miscarriage,female,Gynecology,very_rare,acute_potentially_chronic,moderate,emergency,personal_visit
Thrombocytopathy,Thrombocytopathy,both,Hematology,very_rare,acute_potentially_chronic,moderate,consultation,personal_visit
Thrombotic thrombocytopenic purpura,Thrombotic thrombocytopenic purpura,both,Hematology,very_rare,chronic_with_exacerbations,severe,emergency,personal_visit
Thyroid cancer,Thyroid cancer,both,Endocrinology,very_rare,chronic,severe,consultation,personal_visit
Thyrotoxic crisis with thyrotoxicosis,Thyrotoxic crisis with thyrotoxicosis,both,Endocrinology,very_rare,acute,severe,emergency_ambulance,personal_visit
Thyrotropin releasing pituitary adenoma,Thyrotropin releasing pituitary adenoma,both,Endocrinology,very_rare,chronic,severe,consultation,personal_visit
Tibiofibular fracture,Broken calf bones,both,Traumatology,very_rare,acute,moderate,emergency,personal_visit
Tinea capitis,Fungal infection of the scalp,both,Dermatology,rare,chronic,mild,consultation,video_teleconsultation
Tinea corporis,Fungal skin infection,both,Dermatology,moderate,acute_potentially_chronic,mild,consultation,personal_visit
Tinea cruris,Jock itch,both,Dermatology,rare,acute_potentially_chronic,mild,consultation,personal_visit
Tinea pedis,Athlete's foot,both,Dermatology,common,chronic,mild,self_care,personal_visit
Tinea versicolor,Tinea versicolor,both,Dermatology,moderate,chronic_with_exacerbations,mild,consultation,video_teleconsultation
Toe contusion,Toe contusion,both,Traumatology,very_rare,acute,mild,self_care,video_teleconsultation
Toe dislocation,Toe dislocation,both,Traumatology,very_rare,acute,moderate,consultation,personal_visit
Toe fracture,Broken toe,both,Traumatology,very_rare,acute,moderate,consultation_24,personal_visit
Toxocariasis,Toxocariasis,both,Infectiology,very_rare,chronic_with_exacerbations,moderate,consultation,personal_visit
Toxoplasmosis,Toxoplasmosis,both,Infectiology,rare,acute_potentially_chronic,moderate,consultation_24,personal_visit
Transient ischemic attack,Transient ischemic attack,both,Neurology,very_rare,acute,moderate,emergency,personal_visit
Trichinosis,Trichinosis,both,Infectiology,very_rare,chronic,moderate,consultation_24,personal_visit
Trichomoniasis,Trichomoniasis,both,Venereology,rare,acute,mild,consultation,personal_visit
Trichuriasis,Whipworm infection,both,Infectiology,rare,chronic_with_exacerbations,mild,consultation,personal_visit
Trigeminal neuralgia,Trigeminal neuralgia,both,Neurology,very_rare,chronic_with_exacerbations,mild,consultation,personal_visit
Trigeminal neuropathy,Trigeminal nerve damage,both,Neurology,very_rare,chronic,mild,consultation,personal_visit
Trochlear nerve palsy,Trochlear nerve palsy,both,Ophthalmology,very_rare,chronic,mild,consultation,personal_visit
"Trunk injury, unspecified location",Trunk injury of unspecified location,both,Traumatology,very_rare,acute,mild,consultation,personal_visit
Tularemia,Tularemia,both,Infectiology,very_rare,acute,severe,consultation,personal_visit
Tumor lysis syndrome,Tumor lysis syndrome,both,Oncology,very_rare,acute_potentially_chronic,severe,emergency,personal_visit
Type 1 Neurofibromatosis,Type 1 Neurofibromatosis,both,Neurology,very_rare,chronic,mild,consultation,video_teleconsultation
Type 2 Neurofibromatosis,Type 2 Neurofibromatosis,both,Neurology,very_rare,chronic,mild,consultation,personal_visit
Typhoid fever,Typhoid fever,both,Infectiology,very_rare,acute,severe,consultation_24,personal_visit
Typhus,Typhus,both,Infectiology,very_rare,acute,severe,consultation_24,personal_visit
Ulcerative colitis,Colitis ulcerosa,both,Gastroenterology,very_rare,chronic_with_exacerbations,severe,consultation,personal_visit
Ulcerative colitis exacerbation,Ulcerative colitis flare-up,both,Gastroenterology,very_rare,acute_potentially_chronic,severe,consultation,personal_visit
Ulnar nerve syndrome,Ulnar nerve syndrome,both,Orthopedics,very_rare,chronic_with_exacerbations,moderate,consultation,personal_visit
Unstable angina pectoris,Unstable angina pectoris,both,Cardiology,very_rare,chronic_with_exacerbations,severe,emergency,personal_visit
Unstable bradyarrhytmia,Severe arrhythmia with slow heart rate,both,Cardiology,very_rare,acute,severe,emergency_ambulance,personal_visit
Unstable tachyarrhytmia,Severe arrhythmia with fast heart rate,both,Cardiology,rare,acute,severe,emergency_ambulance,personal_visit
"Upper limb injury, unspecified location",Upper limb injury of unspecified location,both,Traumatology,very_rare,acute,moderate,consultation,personal_visit
Urethritis,Urethritis,both,Urology,rare,acute,mild,consultation_24,personal_visit
Urge urinary incontinence,Urge incontinence,both,Urology,very_rare,chronic_with_exacerbations,mild,self_care,personal_visit
Uterine fibroids,Uterine fibroids,female,Gynecology,very_rare,chronic,mild,consultation,personal_visit
Uveitis,Uveitis,both,Ophthalmology,rare,acute_potentially_chronic,moderate,consultation_24,personal_visit
VIPoma,VIPoma,both,Endocrinology,very_rare,chronic_with_exacerbations,moderate,consultation,personal_visit
Vagus nerve palsy,Vagus nerve palsy,both,Neurology,very_rare,chronic,moderate,consultation,personal_visit
Varicocele,Varicocele,male,Urology,moderate,chronic,mild,consultation,personal_visit
Varicose veins of lower extremities,Varicose veins of lower extremities,both,Surgery,rare,chronic,mild,self_care,video_teleconsultation
Vascular hemorrhagic diathesis,Vascular hemorrhagic diathesis,both,Hematology,very_rare,acute_potentially_chronic,moderate,consultation,personal_visit
Vasculitis,Vasculitis,both,Rheumatology,rare,chronic_with_exacerbations,moderate,consultation,personal_visit
Vertebrobasilar insufficiency,Vertebrobasilar insufficiency,both,Neurology,very_rare,chronic_with_exacerbations,severe,consultation_24,personal_visit
Vestibular neuronitis,Vestibular neuronitis,both,Otorhinolaryngology,very_rare,acute,moderate,consultation_24,personal_visit
Vestibulocochlear nerve damage,Vestibulocochlear nerve damage,both,Neurology,very_rare,chronic,moderate,consultation_24,personal_visit
Viral gastroenteritis,Viral gastroenteritis,both,Gastroenterology,common,acute,moderate,self_care,audio_teleconsultation
Viral meningitis,Viral meningitis,both,Infectiology,very_rare,acute,severe,emergency,personal_visit
Visceral leishmaniasis,Visceral leishmaniasis,both,Infectiology,very_rare,chronic_with_exacerbations,severe,emergency,personal_visit
"Visual disturbance, unspecified",Sight defect,both,Ophthalmology,common,chronic,mild,self_care,video_teleconsultation
Vitamin B12 deficiency anemia,Vitamin B12 deficiency anemia,both,Hematology,very_rare,chronic_with_exacerbations,moderate,consultation,audio_teleconsultation
Vitiligo,Vitiligo,both,Dermatology,rare,chronic,mild,consultation,personal_visit
"Vomiting, unspecified",Unspecific vomiting,both,Internal Medicine,common,acute,mild,self_care,text_teleconsultation
Von Willebrand disease,Von Willebrand disease,both,Hematology,very_rare,chronic,mild,consultation,personal_visit
Vulvovaginal candidiasis,Vaginal thrush,female,Gynecology,moderate,acute_potentially_chronic,mild,consultation,personal_visit
Warts,Warts,both,Dermatology,common,acute_potentially_chronic,mild,self_care,video_teleconsultation
Wernicke's encephalopathy,Wernicke's encephalopathy,both,Neurology,very_rare,chronic,moderate,consultation,personal_visit
West Nile Virus infection,West Nile Virus infection,both,Infectiology,very_rare,acute,severe,emergency,personal_visit
Whitlow,Whitlow,both,Surgery,moderate,acute,severe,consultation,personal_visit
Wilson's disease,Wilson's disease,both,Gastroenterology,very_rare,chronic_with_exacerbations,moderate,consultation,audio_teleconsultation
Wiskott-Aldrich syndrome,Wiskott-Aldrich syndrome,both,Hematology,very_rare,chronic_with_exacerbations,moderate,consultation,personal_visit
Wound dehiscence,Wound separation,both,Surgery,very_rare,acute,moderate,consultation_24,personal_visit
Wound infection,Infected wound,both,Surgery,very_rare,acute,moderate,consultation_24,personal_visit
Wrist and hand contusion,Wrist and hand contusion,both,Traumatology,very_rare,acute,mild,self_care,video_teleconsultation
Wrist dislocation,Dislocated wrist,both,Traumatology,very_rare,acute,moderate,consultation,personal_visit
Yellow fever,Yellow fever,both,Infectiology,very_rare,acute,severe,emergency,personal_visit
Zika virus infection,Zika virus infection,both,Infectiology,very_rare,acute,mild,consultation,audio_teleconsultation
Zollinger-Ellison syndrome,Zollinger-Ellison syndrome,both,Gastroenterology,very_rare,chronic_with_exacerbations,moderate,consultation,personal_visit
